Comunidades;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2009;23.746
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2008;20.964
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2007;17.487
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2006;16.322
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2005;14.492
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2004;12.107
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2003;10.628
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2002;8.127
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2001;5.894
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;2000;4.048
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;1999;3.025
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;Extranjeros;Mujeres;1998;3.025
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;4,45
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;4,07
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2018;3,90
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2017;3,76
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2016;3,87
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2015;3,93
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2014;4,25
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2013;4,53
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2012;4,72
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2011;4,66
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2010;4,55
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2009;4,34
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2008;3,78
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2007;3,04
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2006;2,81
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2005;2,49
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2004;2,09
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2003;1,83
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2002;1,38
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2001;1,01
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;2000;0,73
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;1999;0,56
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Ambos sexos;1998;0,56
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2020;4,33
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2019;3,96
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2018;3,80
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2017;3,68
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2016;3,81
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2015;3,90
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2014;4,30
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2013;4,57
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2012;4,85
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2011;4,78
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2010;4,69
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2009;4,49
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2008;3,83
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2007;2,96
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2006;2,70
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2005;2,38
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2004;2,00
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2003;1,76
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2002;1,30
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2001;0,96
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;2000;0,74
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;1999;0,58
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Hombres;1998;0,58
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2020;4,56
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2019;4,17
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2018;3,99
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2017;3,83
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2016;3,92
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2015;3,96
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2014;4,21
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2013;4,49
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2012;4,60
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2011;4,55
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2010;4,41
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2009;4,21
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2008;3,73
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2007;3,13
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2006;2,91
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2005;2,59
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2004;2,17
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2003;1,90
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2002;1,45
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2001;1,05
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;2000;0,72
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;1999;0,54
ASTURIAS, PRINCIPADO DE;TOTAL EDADES;% Extranjeros;Mujeres;1998;0,54
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2020;117.575
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2019;119.337
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2018;120.462
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2017;121.327
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2016;122.112
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2015;122.725
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2014;123.523
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2013;123.419
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2012;123.143
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2011;122.213
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2010;120.657
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2009;119.118
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2008;116.524
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2007;115.259
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2006;114.655
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2005;114.232
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2004;113.255
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2003;114.844
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2002;116.531
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2001;119.350
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;2000;123.482
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;1999;128.090
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Ambos sexos;1998;134.329
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2020;60.456
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2019;61.311
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2018;61.810
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2017;62.266
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2016;62.740
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2015;62.999
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2014;63.341
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2013;63.411
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2012;63.162
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2011;62.607
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2010;61.818
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2009;61.124
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2008;59.885
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2007;59.278
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2006;58.911
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2005;58.694
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2004;58.191
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2003;59.105
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2002;60.036
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2001;61.438
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;2000;63.476
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;1999;65.808
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Hombres;1998;68.958
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2020;57.119
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2019;58.026
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2018;58.652
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2017;59.061
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2016;59.372
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2015;59.726
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2014;60.182
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2013;60.008
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2012;59.981
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2011;59.606
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2010;58.839
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2009;57.994
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2008;56.639
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2007;55.981
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2006;55.744
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2005;55.538
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2004;55.064
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2003;55.739
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2002;56.495
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2001;57.912
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;2000;60.007
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;1999;62.281
ASTURIAS, PRINCIPADO DE;0-15 años;TOTAL;Mujeres;1998;65.371
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2020;111.475
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2019;113.729
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2018;115.040
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2017;116.160
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2016;116.783
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2015;117.238
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2014;117.468
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2013;116.812
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2012;116.249
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2011;115.314
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2010;114.007
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2009;112.669
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2008;110.931
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2007;110.792
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2006;110.662
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2005;110.658
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2004;110.147
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2003;112.325
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2002;114.801
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2001;118.177
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;2000;122.679
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;1999;127.553
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Ambos sexos;1998;133.719
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2020;57.298
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2019;58.440
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2018;59.023
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2017;59.612
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2016;60.020
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2015;60.232
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2014;60.319
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2013;60.076
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2012;59.703
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2011;59.152
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2010;58.487
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2009;57.857
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2008;57.032
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2007;57.037
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2006;56.920
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2005;56.891
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2004;56.593
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2003;57.802
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2002;59.169
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2001;60.851
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;2000;63.075
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;1999;65.543
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Hombres;1998;68.646
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2020;54.177
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2019;55.289
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2018;56.017
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2017;56.548
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2016;56.763
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2015;57.006
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2014;57.149
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2013;56.736
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2012;56.546
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2011;56.162
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2010;55.520
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2009;54.812
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2008;53.899
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2007;53.755
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2006;53.742
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2005;53.767
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2004;53.554
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2003;54.523
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2002;55.632
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2001;57.326
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;2000;59.604
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;1999;62.010
ASTURIAS, PRINCIPADO DE;0-15 años;Españoles;Mujeres;1998;65.073
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2020;6.100
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2019;5.608
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2018;5.422
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2017;5.167
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2016;5.329
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2015;5.487
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2014;6.055
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2013;6.607
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2012;6.894
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2011;6.899
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2010;6.650
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2009;6.449
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2008;5.593
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2007;4.467
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2006;3.993
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2005;3.574
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2004;3.108
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2003;2.519
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2002;1.730
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2001;1.173
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;2000;803
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;1999;537
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Ambos sexos;1998;610
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2020;3.158
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2019;2.871
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2018;2.787
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2017;2.654
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2016;2.720
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2015;2.767
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2014;3.022
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2013;3.335
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2012;3.459
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2011;3.455
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2010;3.331
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2009;3.267
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2008;2.853
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2007;2.241
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2006;1.991
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2005;1.803
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2004;1.598
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2003;1.303
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2002;867
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2001;587
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;2000;401
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;1999;265
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Hombres;1998;312
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2020;2.942
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2019;2.737
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2018;2.635
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2017;2.513
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2016;2.609
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2015;2.720
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2014;3.033
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2013;3.272
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2012;3.435
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2011;3.444
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2010;3.319
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2009;3.182
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2008;2.740
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2007;2.226
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2006;2.002
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2005;1.771
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2004;1.510
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2003;1.216
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2002;863
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2001;586
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;2000;402
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;1999;272
ASTURIAS, PRINCIPADO DE;0-15 años;Extranjeros;Mujeres;1998;298
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2020;5,19
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2019;4,70
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2018;4,50
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2017;4,26
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2016;4,36
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2015;4,47
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2014;4,90
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2013;5,35
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2012;5,60
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2011;5,65
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2010;5,51
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2009;5,41
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2008;4,80
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2007;3,88
ASTURIAS, PRINCIPADO DE;0-15 años;% Extranjeros;Ambos sexos;2006;3,48
